t[s],wx[rad/s],wy[rad/s],wz[rad/s],q1,q2,q3,q4
0.228,1.11468,3.84124,-3.50996,0.145612,0.316364,-0.326317,0.878765
0.229,1.11064,3.84369,-3.50825,0.14585,0.317421,-0.32703,0.878079
0.23,1.10659,3.84613,-3.50654,0.146084,0.318475,-0.327738,0.877394
0.231,1.10255,3.84855,-3.50484,0.146316,0.319526,-0.328441,0.876711
0.232,1.0985,3.85097,-3.50314,0.146545,0.320574,-0.329138,0.876028
0.233,1.09445,3.85337,-3.50145,0.14677,0.321618,-0.32983,0.875347
0.234,1.0904,3.85577,-3.49976,0.146993,0.322659,-0.330516,0.874668
0.235,1.08636,3.85815,-3.49808,0.147212,0.323697,-0.331197,0.87399
0.236,1.08231,3.86053,-3.4964,0.147429,0.324731,-0.331872,0.873313
0.237,1.07826,3.86289,-3.49473,0.147642,0.325763,-0.332542,0.872637
0.238,1.07421,3.86525,-3.49307,0.147853,0.326791,-0.333207,0.871964
0.239,1.07016,3.86759,-3.49141,0.14806,0.327816,-0.333867,0.871291
0.24,1.06611,3.86993,-3.48975,0.148265,0.328838,-0.334521,0.87062
0.241,1.06205,3.87225,-3.4881,0.148467,0.329856,-0.33517,0.86995
0.242,1.058,3.87457,-3.48645,0.148665,0.330872,-0.335814,0.869282
0.243,1.05395,3.87687,-3.48481,0.148861,0.331884,-0.336453,0.868616
0.244,1.0499,3.87917,-3.48318,0.149054,0.332893,-0.337086,0.867951
0.245,1.04584,3.88145,-3.48155,0.149244,0.333899,-0.337714,0.867287
0.246,1.04179,3.88373,-3.47993,0.149431,0.334902,-0.338338,0.866625
0.247,1.03773,3.886,-3.47831,0.149615,0.335901,-0.338956,0.865965
0.248,1.03368,3.88825,-3.4767,0.149796,0.336898,-0.339569,0.865306
0.249,1.02962,3.8905,-3.47509,0.149974,0.337891,-0.340177,0.864648
0.25,1.02557,3.89273,-3.47349,0.15015,0.338881,-0.34078,0.863993
0.251,1.02151,3.89496,-3.47189,0.150322,0.339869,-0.341378,0.863338
0.252,1.01745,3.89718,-3.4703,0.150492,0.340853,-0.341972,0.862686
0.253,1.0134,3.89938,-3.46871,0.150659,0.341834,-0.34256,0.862035
0.254,1.00934,3.90158,-3.46713,0.150823,0.342812,-0.343143,0.861386
0.255,1.00528,3.90377,-3.46556,0.150984,0.343787,-0.343722,0.860738
0.256,1.00122,3.90595,-3.46399,0.151142,0.344758,-0.344295,0.860092
0.257,0.997164,3.90811,-3.46242,0.151298,0.345727,-0.344864,0.859448
0.258,0.993104,3.91027,-3.46086,0.151451,0.346693,-0.345428,0.858805
0.259,0.989044,3.91242,-3.45931,0.151601,0.347656,-0.345987,0.858164
0.26,0.984984,3.91456,-3.45776,0.151748,0.348615,-0.346541,0.857525
0.261,0.980923,3.91669,-3.45622,0.151893,0.349572,-0.347091,0.856887
0.262,0.976862,3.9188,-3.45468,0.152034,0.350526,-0.347636,0.856251
0.263,0.972801,3.92091,-3.45315,0.152173,0.351477,-0.348176,0.855617
0.264,0.968739,3.92301,-3.45163,0.152309,0.352424,-0.348712,0.854985
0.265,0.964677,3.9251,-3.45011,0.152443,0.353369,-0.349243,0.854354
0.266,0.960614,3.92718,-3.44859,0.152574,0.354311,-0.349769,0.853725
0.267,0.956551,3.92925,-3.44708,0.152702,0.35525,-0.350291,0.853098
0.268,0.952488,3.93131,-3.44558,0.152827,0.356186,-0.350808,0.852473
0.269,0.948424,3.93337,-3.44408,0.15295,0.357119,-0.35132,0.851849
0.27,0.94436,3.93541,-3.44259,0.15307,0.358049,-0.351828,0.851227
0.271,0.940296,3.93744,-3.4411,0.153187,0.358976,-0.352332,0.850607
0.272,0.936231,3.93946,-3.43962,0.153302,0.359901,-0.352831,0.849988
0.273,0.932166,3.94147,-3.43815,0.153414,0.360822,-0.353326,0.849372
0.274,0.928101,3.94348,-3.43668,0.153523,0.36174,-0.353816,0.848757
0.275,0.924035,3.94547,-3.43521,0.153629,0.362656,-0.354302,0.848144
0.276,0.919969,3.94745,-3.43375,0.153734,0.363569,-0.354784,0.847533
0.277,0.915902,3.94943,-3.4323,0.153835,0.364479,-0.355261,0.846924
0.278,0.911836,3.95139,-3.43085,0.153934,0.365386,-0.355733,0.846316
0.279,0.907769,3.95335,-3.42941,0.15403,0.36629,-0.356202,0.845711
0.28,0.903701,3.95529,-3.42798,0.154123,0.367192,-0.356666,0.845107
0.281,0.899634,3.95723,-3.42655,0.154214,0.36809,-0.357126,0.844505
0.282,0.895566,3.95916,-3.42512,0.154303,0.368986,-0.357582,0.843905
0.283,0.891498,3.96107,-3.42371,0.154389,0.369879,-0.358034,0.843306
0.284,0.887429,3.96298,-3.42229,0.154472,0.370769,-0.358481,0.84271
0.285,0.883361,3.96488,-3.42089,0.154553,0.371657,-0.358924,0.842115
0.286,0.879291,3.96677,-3.41949,0.154631,0.372541,-0.359363,0.841523
0.287,0.875222,3.96865,-3.41809,0.154706,0.373423,-0.359798,0.840932
0.288,0.871153,3.97052,-3.4167,0.154779,0.374303,-0.360229,0.840343
0.289,0.867083,3.97238,-3.41532,0.15485,0.375179,-0.360656,0.839756
0.29,0.863013,3.97423,-3.41394,0.154918,0.376053,-0.361079,0.83917
0.291,0.858942,3.97607,-3.41257,0.154983,0.376924,-0.361497,0.838587
0.292,0.854872,3.9779,-3.4112,0.155046,0.377792,-0.361912,0.838006
0.293,0.850801,3.97973,-3.40984,0.155107,0.378658,-0.362323,0.837426
0.294,0.84673,3.98154,-3.40849,0.155165,0.379521,-0.36273,0.836848
0.295,0.842659,3.98334,-3.40714,0.155221,0.380381,-0.363133,0.836272
0.296,0.838587,3.98514,-3.4058,0.155274,0.381238,-0.363532,0.835699
0.297,0.834515,3.98692,-3.40446,0.155324,0.382093,-0.363927,0.835127
0.298,0.830443,3.9887,-3.40313,0.155373,0.382945,-0.364318,0.834556
0.299,0.826371,3.99046,-3.4018,0.155418,0.383795,-0.364706,0.833988
0.3,0.822299,3.99222,-3.40048,0.155462,0.384642,-0.365089,0.833422
0.301,0.818226,3.99397,-3.39917,0.155502,0.385486,-0.365469,0.832858
0.302,0.814153,3.99571,-3.39786,0.155541,0.386328,-0.365845,0.832295
0.303,0.81008,3.99744,-3.39656,0.155577,0.387167,-0.366217,0.831735
0.304,0.806007,3.99916,-3.39527,0.155611,0.388004,-0.366586,0.831176
0.305,0.801933,4.00087,-3.39398,0.155642,0.388838,-0.366951,0.830619
0.306,0.79786,4.00257,-3.39269,0.155671,0.389669,-0.367312,0.830064
0.307,0.793786,4.00426,-3.39142,0.155697,0.390498,-0.36767,0.829511
0.308,0.789712,4.00594,-3.39015,0.155721,0.391324,-0.368024,0.82896
0.309,0.785638,4.00761,-3.38888,0.155743,0.392148,-0.368374,0.828411
0.31,0.781563,4.00928,-3.38762,0.155762,0.392969,-0.368721,0.827864
0.311,0.777489,4.01093,-3.38637,0.155779,0.393787,-0.369064,0.827319
0.312,0.773414,4.01258,-3.38512,0.155794,0.394603,-0.369403,0.826775
0.313,0.769339,4.01422,-3.38388,0.155806,0.395417,-0.369739,0.826234
0.314,0.765264,4.01584,-3.38264,0.155816,0.396228,-0.370072,0.825695
0.315,0.761189,4.01746,-3.38141,0.155824,0.397036,-0.370401,0.825157
0.316,0.757113,4.01907,-3.38019,0.155829,0.397842,-0.370727,0.824621
0.317,0.753038,4.02067,-3.37897,0.155832,0.398646,-0.371049,0.824088
0.318,0.748962,4.02226,-3.37776,0.155833,0.399447,-0.371368,0.823556
0.319,0.744886,4.02384,-3.37656,0.155831,0.400246,-0.371683,0.823026
0.32,0.74081,4.02541,-3.37536,0.155827,0.401042,-0.371995,0.822498
0.321,0.736734,4.02697,-3.37417,0.155821,0.401836,-0.372304,0.821972
0.322,0.732658,4.02853,-3.37298,0.155813,0.402627,-0.372609,0.821448
0.323,0.728581,4.03007,-3.3718,0.155802,0.403416,-0.372911,0.820926
0.324,0.724505,4.03161,-3.37062,0.155789,0.404202,-0.37321,0.820405
0.325,0.720428,4.03313,-3.36946,0.155774,0.404986,-0.373505,0.819887
0.326,0.716351,4.03465,-3.36829,0.155756,0.405768,-0.373797,0.81937
0.327,0.712274,4.03616,-3.36714,0.155737,0.406547,-0.374086,0.818856
0.328,0.708197,4.03766,-3.36599,0.155715,0.407324,-0.374372,0.818343
0.329,0.70412,4.03915,-3.36484,0.155691,0.408099,-0.374655,0.817832
0.33,0.700042,4.04063,-3.36371,0.155664,0.408871,-0.374934,0.817324
0.331,0.695965,4.0421,-3.36257,0.155636,0.40964,-0.37521,0.816817
